module,gene_symbol,module_class
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Ndufb7,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Ndufb8,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Ndufc1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Ndufc2,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Ndufs1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Ndufs2,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Ndufs3,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Ndufs4,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Ndufs6,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Ndufs7,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Ndufs8,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Ndufv1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Ndufv2,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Nnt,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Nqo2,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Oat,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Ogdh,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Opa1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Oxa1l,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Pdha1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Pdhb,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Pdhx,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Pdk4,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Pdp1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Phb2,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Phyh,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Pmpca,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Polr2f,mitochondrial
