gene_name,selected_probe_id,GSM2510565,GSM2510566,GSM2510567,GSM2510568,GSM2510569,GSM2510570,GSM2510571,GSM2510572,GSM2510573,GSM2510574,GSM2510575,GSM2510576
Sgsh,A_55_P2028570,9.127127692,9.196606792,8.958652457,8.806273075,9.070571756,9.110867624,8.696876387,8.979703766,8.840329599,9.023257645,9.071360297,9.158797417
Sgsm1,A_55_P2088705,2.477809072,2.504338296,2.387343945,2.178094873,2.510508191,2.696699502,2.04127159,2.507614285,2.592518049,2.157808949,2.376360994,2.614249567
Sgsm2,A_55_P1982201,1.987449782,2.094002921,1.897114518,1.950670015,2.053691012,1.940145473,1.804760669,2.056078552,1.93218804,2.08487285,1.93855,2.157606909
Sgsm3,A_55_P2097329,7.328655573,7.466817335,7.223127923,7.248712988,7.232042122,7.306688187,7.26872669,7.082661464,7.194181837,7.12968825,7.40286772,7.22168982
Sgta,A_51_P346104,3.236360245,3.107126628,3.005823664,2.948616062,3.165625256,2.955112481,2.640952508,3.006070592,2.947994388,2.909342477,3.038280876,3.185881638
Sgtb,A_51_P433769,4.721411211,4.844924799,4.621015519,4.557725163,4.508985571,4.572259797,4.232684456,4.540243149,4.649606979,4.60038829,4.499629299,4.689378116
Sh2b1,A_52_P576100,1.853616731,1.549940069,1.690194558,1.366570941,1.657670585,1.489574588,1.276086301,1.557929509,1.508228105,1.34851732,1.507621319,1.721083898
Sh2b2,A_66_P113490,-0.711782044,-0.704241585,-0.814544793,-1.007211111,-0.860596133,-0.793822971,-0.988578383,-0.669758669,-0.537648387,-0.892874045,-0.908548696,-0.61585521
Sh2b3,A_55_P1993864,0.880886529,1.066865852,0.704355605,0.548092671,0.629272563,0.582209314,0.53238399,0.728135366,0.657008776,0.477442458,0.630553598,0.864453391
Sh2d1a,A_55_P2012071,-1.449276753,-1.446567126,-1.304597112,-1.427179762,-1.251262879,-1.106835808,-1.378207747,-1.087246863,-1.185773783,-1.240620488,-1.287976112,-1.134561843
Sh2d1b2,A_55_P2072616,-4.568657124,-4.66960499,-4.300465293,-4.340163688,-4.137784877,-3.995624717,-4.033945724,-3.615812892,-4.360527599,-3.852089573,-4.012487645,-3.856427338
Sh2d2a,A_51_P226882,1.687949388,1.866791449,1.689067135,1.255976865,1.587342156,1.821737352,1.506076698,1.502319025,1.517758707,1.524041995,1.570361041,1.601181642
Sh2d3c,A_55_P2098935,-1.129950293,-1.089061599,-1.34311056,-1.714264927,-1.371968448,-1.339089301,-1.860786659,-1.501733234,-1.43292926,-1.585832219,-1.6762041,-1.460636878
Sh2d4a,A_51_P454196,-4.626084081,-5.62728313,-5.168673886,-4.881552594,-4.726120621,-4.398289432,-4.683966597,-5.272642118,-5.233786999,-5.676113796,-5.090563519,-4.783177061
